Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,197,5
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,12,6
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,39,7
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,242,8
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,30,9
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,5,10
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,106,11
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,124,12
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,83,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,118,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,42,3
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,25,4
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,139,5
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,22,6
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,31,7
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,169,8
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,9,9
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,3,10
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,63,11
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,84,12
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,36,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,61,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,40,3
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,13,4
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,73,5
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,25,6
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,22,7
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,124,8
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,5,9
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,1,10
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,34,11
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,69,12
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,54,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,77,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,32,3
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,19,4
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,109,5
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,18,6
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,31,7
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,138,8
