Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,72,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,126,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,106,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,118,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,131,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,539,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,597,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,..,6,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,190,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,171,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,42,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,41,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,60,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,49,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,97,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,99,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,310,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,381,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,6,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,268,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,263,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,58,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,54,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,99,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,74,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,145,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,139,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,527,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,668,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,..,6,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,156,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,161,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,35,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,45,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,47,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,46,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,115,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,112,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,354,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,412,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,404,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,535,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,81,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,138,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,120,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,185,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,201,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,246,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1726,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,8949,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,191,1,1
